Bình luận,Tôn giáo,Chính trị,Cá nhân,Đồ vật,Quốc gia,Vùng miền,Tổ chức/ tập thể,Dân tộc,Động vật,NOTE:,,,,
bon comcom đơn vị tác chiến điện tử vs nhật ký yêu nước dm chúng mày vào mà đọc. tưởng ai cũng như chúng mày hết đấy,0,1,3,0,0,0,3,0,0,,,,,
Các em nầy khi vào báo “công ngủ” với ác hồ thì phải chỉa vào mặt ác hồ như thế nầy nè :,0,1,3,0,0,0,3,0,1,,,,,
Nước hoa đểu lấy đâu ra xịn :))) Hot girl méo gì nhìn xấu vkl thề :))),0,0,3,1,0,0,0,0,0,,,,,
Bóng dơ,0,0,3,2,0,0,0,0,0,,,,,
triệu hồi phúc nghẹo..trọng lú,0,3,3,0,0,0,3,2,0,,,,,
"nói z thôi cho dân chúng bớt xoắn lên nhưng thực chắc cũng đâu vào đấy. nó chơi ngầm thì đố ai biết. cái nhà nước này nó nát bét hết rồi. các bác đừng có mơ làm nhà nước nữa, từ cấp 3 đã xác định là làm nghề gì mà k liên qua nhà nước rồi, vì tao biết g",0,3,2,0,3,0,3,0,0,,,,,
dư luận viên vào ẳng nào :v,0,0,3,0,0,0,3,0,1,,,,,
NGHIỆP BÊ ĐÊ NẶNG LẮM R MÁ ƠI,0,0,2,0,0,0,0,0,0,,,,,
Cũng đã đến lúc những người làm công tác bảo vệ an ninh.các khu phố cần vào cuộc. Vì hình ảnh của đất nước không để mấy thằng lưu manh làm mất mặt được,0,0,1,0,0,0,1,0,0,,,,,
Phương Minn ngộ nghĩnh nhỉ lạ lone nhỉ ? Rõ ràng cố tình tạo phốt để bán hàng online :))) mà làm như hay lắm . Sống dơ v ai mua đồ cho trời .,0,0,3,1,0,0,1,0,0,,,,,
Có cc nè em :),3,3,3,0,3,3,3,3,1,,,,,
Chị ba sang quá à...Đi hửi quần xì của con les,0,0,3,0,0,0,0,0,0,,,,,
"Nhà nói dóc, nhà ảo tưởng chứ biết con mẹ gì mà tiên tri 😄🤣😂😂😂😃😂😭😢😘",3,0,3,0,0,0,3,0,0,,,,,
dạo này pản động nhiếu quá mấy bạn bò đỏ ah :D,0,3,3,0,3,0,3,3,1,,,,,
"cái cap hơi gây war đó nha!vậy tui nói chương trình mấy người này nọ mấy người chịu không?nói gì thì suy nghĩ vào,xin lỗi chứ chương trình có duyên mà cmt đ có duyên thì dẹp hay im m* mồm cho xong!Thân!!",0,0,3,0,0,0,2,0,0,,,,,
ĐM HCM : Đường mòn Hồ Chí Minh :v,0,3,3,1,3,0,3,3,0,,,,,
:)) t bên này t còn dell giám dùng tien mà s chj 3 xaolol vay nhà toàn trã góp sūa cl :))),0,0,3,0,0,0,0,0,0,,,,,
"Lại nghĩ cảnh tập trận chống bạo động đại hội Đảng. Cứ tập trận như đúng rồi, sợ dân ta đến biểu tình nên phải làm vậy đây mà",0,3,3,0,0,0,3,0,0,,,,,
Thứ ngu như m nói chuyện mất tg...đi học lại lớp mẫu giáo đi,0,0,3,0,0,0,0,0,0,,,,,
Bạn bị phạt khi chê lãnh đạo kênh kiệu/ngu/cùi bắp ... không phải vì bạn xúc phạm họ mà vì bạn đã lộ bí mật quốc gia.,0,3,1,0,1,0,3,0,0,,,,,
Đm Ad m óc cức lắm...Đm người ta khổ chứ Đéo rãnh lên đăng ba cái tào lao như m đâu...m cho người ta đc đồng xu cắt bạc nào chưa...ở đây xạo lồn...mẹ m sinh cái tay m ra trước hay sao m ngu v,0,0,3,0,0,0,3,0,0,,,,,
Bao giờ cho đến ngày xưa?chúng ta hãy biết ơn lịch sử suốt từ thời 3 lần đánh Nam hán trên sông Bạch đằng.đừng như bây giờ tên cũng không dám gọi.chúc Bác Lượng luôn an toàn!,0,0,1,0,1,0,0,0,0,,,,,
Thầy địt mẹ giả tạo vl =)),0,0,2,0,0,0,0,0,0,,,,,
Đỷ chị minh hiếu,0,0,3,0,0,0,0,0,0,,,,,
Hahaha. Đĩ nl. Con bà 2 sinh cl bị sình đó b,0,0,3,0,0,0,0,0,0,,,,,
Xin nhà tiên tri cho biết: Liệu trong đại dịch COVID 19 này lũ 3/// CCCĐ tại Hải ngoại có thể miễn dịch ko ạ? Và nếu bị nhiễm dịch thì lũ 3/// sỏ lá sẽ đổ lỗi cho cộng sản hay do sự chủ quan của chính quyền Mỹ ?,2,2,3,0,2,2,3,3,0,,,,,
"Cả cái thằng máu lồn ad nữa, dạo này cứ đăng mấy cái nhảm lồn, đ thích mua hộp cơm 200.000 thì vè nhà cắm con mẹ m cơm mà ăn, đi xăm xoi cái lồn ý à",0,0,3,0,0,0,3,0,0,,,,,
Cứ như mấy ông trại tâm thần nghịch kiến ấy nhỉ,0,0,1,0,0,0,1,0,0,,,,,
Gia Cát Lồn =))))),0,0,3,0,2,0,0,2,0,,,,,
"Hongkong ủng hộ TQ trả đũa Mỹ, Hongkong ở đây là chỉ một mình bà Carrie Lam và bộ sậu tay sai TQ của bà ta, chứ không phải người dân Hongkong.",0,1,3,0,2,0,0,0,0,,,,,
Hay ho đéo j bài này. Hay lại câu like mất facebook,2,2,2,2,2,2,2,2,2,,,,,
Lan Hoa mấy đứa suốt ngày bảo người ta đạo này nọ cả đời chỉ núp dưới bóng của người khác 🙂,0,0,0,0,0,0,0,0,0,,,,,
tuyển để e dí l vào mạt ngkhac à,0,0,3,0,0,0,0,0,0,,,,,
Sao chúng mày ko nhịn tham ô cửa quyền đi .,0,3,3,0,0,0,3,0,0,,,,,
Ae 3/// cố gắng ở trong nhà tránh dịch nha. Chết nó chôn tập thể đó. 3/// mà chết hết thì ko có ai ăn cứt cho mỹ đâu.,0,2,3,0,2,2,3,3,0,,,,,
"Phục vụ cho cộng sản, mà ko mang lợi cho chúng, những người này kì vọng gì, mong chúng nhân từ đưa ra miếng xương sao",3,3,3,0,3,3,3,3,0,,,,,
"ông can đang bận bảo vệ bọn ngu nhưng ra vẽ gánh team , và đứng trong bệ đá cổ nhưng vẫn cần sự cover từ đồng đội tránh bị dive bệ đá =))",0,0,3,0,0,0,3,0,0,,,,,
Dm cái giọng cười Abe nghe khốn nạn vl ạ :)) nhưng mỗi lần em nghe em đều cười theo =)),0,0,2,0,0,0,0,0,0,,,,,
con điên,3,3,3,0,3,3,3,3,0,,,,,
Tưởng Xuân Hiển vcl ba chó :vvv,0,0,2,0,0,0,0,0,1,,,,,
K icm ca sĩ concac à,0,0,3,0,0,0,3,0,0,,,,,
ĐÉO MĘ VÀNG NĢOC CÁI ĐÉO GÌ LÁO PHÉT.SĄO KE.ĐĮT.MĘ TŲI DÂN TRUNG QUŐC NÓ CHÔN SŐNG NĮ. BÂY GIÖ ĐÂY.ĐÉO MĘ DÂN LÀM NAIL. MÀ SÕ LÁ. LO LA LÊN MĄNG. NÓI LÀ SŐNG MÃN ĐÖI TRÊN NHUNG LŲA  CÁI ĐÉO GÌ.DÂN CHÓ ĐÉO. SŐNG GÏA TĄO THÌ CÓ.,0,3,3,0,3,3,3,3,0,,,,,
Thấy thì thấy nói giàu lắm có tiền lắm con ông cháu cha lắm. Ra nước ngoài dell có tiền về .Bệnh xạo lozzz thì vẫn còn mỗi ngày.,0,0,3,0,0,0,0,0,0,,,,,
Xi - Men  tiếng pháp là tuần lễ. Các thiếu nữ phá đel bộ vòng nầy gồm 7 chíếc. Tượng trưng chl tuần lễ. Còn dân nầy mắc ngu quá nên đeo 70 chiếc.,0,0,3,0,1,0,3,3,0,,,,,
"Nhung ơi là Nhung, sao mày báo đời dữ vậy Nhung...):",0,0,3,0,0,0,0,0,0,,,,,
Chửi thằng nguyễn sin đi chị thằng này ác lắm. Hình như mũi chị Hiếu hơi lệch á.,0,0,3,0,0,0,0,0,0,,,,,
"Nguyễn Jonh thật ra Mỹ chỉ chống học thuyết cộng sản nói riêng và những nước gây bất ổn cho thế giới, chứ Mỹ ko xem độc tài như kẻ thù bất cộng đái thiên nếu loại độc tài đó chỉ làm khổ dân nước đó mà ko ảnh hưởng đến dân nước Mỹ. Đến giờ các quốc gia",0,2,2,0,2,0,2,2,0,,,,,
Khắc tiệp thì lấy Việt tiệp khoá mõm lại,0,0,3,0,0,0,0,0,0,,,,,
bị ngu à,3,3,3,0,3,3,3,3,3,,,,,
Sat mui vo lon no co hieu no vua sau vua nao yeu nua,2,,,,,,,,,,,,,
Con di,3,3,3,0,0,0,0,3,0,,,,,
"5 ,",0,0,0,0,0,0,0,0,0,,,,,
"Tui nghĩ là xe Merc sẽ có camera hành trình phía sau lưu lại xe nào quay được cảnh này. Tội cắt ghép clip này là bôi nhọ lãnh đạo, vu khống, xuyên tạc chứ ít gì.",0,1,1,0,1,0,0,1,0,,,,,
Tủnn Tủnn trẩu,0,0,2,0,0,0,0,0,1,,,,,
"đền cái cc nhá, vào nước ng ta phá hoại, dân đéo đồng ý nhá, chỉ có tay sai cho tàu đồng ý cho vào thôi. Cút hết về nước",3,0,3,0,2,0,3,3,0,,,,,
"Tụi mày tuổi lồn, nói thế cho nó vuông",3,3,3,0,3,3,3,3,0,,,,,
Hoàng Ngọc Hòa sũa cc,3,3,3,0,3,3,3,3,2,,,,,
Xem cái này chỉ muốn ỉa vào mặt mấy thằng cho xây tượng đài...,3,3,3,0,3,3,3,3,0,,,,,
Nguyễn Việt Cường ơ thằng này ra tù rồi à,0,0,2,0,0,0,0,0,0,,,,,
thien duong cs ngo that.biet tq mun hai vn ma van tiep tay cho tq,0,3,3,0,3,0,3,3,0,,,,,
"Đúng nghĩa "" Bóp Dái Cả Team"" Thầy đánh ntn Lủng hết rồi.",0,0,2,0,0,0,2,0,0,,,,,
Tức nhiên mày xạo quá,3,3,3,0,0,0,3,3,0,,,,,
Ba gà,0,0,2,0,0,0,0,0,1,,,,,
"Hiệp Đinh v m k biết đọc à, hãy viết trước khi đọc kĩ nha thằng óc cứt, mắt chưa rà hết chữ mà tay nhanh hơn não, mối nguy hiểm của xã hội",0,0,3,0,0,0,0,0,0,,,,,
Già mà dơ zạy aba,0,0,2,0,0,,0,0,0,,,,,
"Sai ! Nhiều phụ nữ chỉ có cái loz là phụ nữ , còn đâu là sự xúc phạm nặng nề người nhìn đó bạn",0,0,3,0,0,0,3,0,0,,,,,
Trần dần bệnh tâm thần chuyện có nói ko chuyện ko nói có làm cho cả cộng đồng người việt ở Mỹ quá bức xúc truyền thông pho bolsa tv giống Trần dần bịa đặt chuyện có nói ko chuyện ko nói có,0,1,1,0,1,0,2,0,0,,,,,
Bài này như lồn,3,3,3,0,0,0,3,0,0,,,,,
Những chú dâm loạn viên đâu tui muốn thấy cái mõm chó của mấy bạn,0,0,3,0,0,0,3,0,0,,,,,
Mấy thằng chó cs chắc tức lắm vì ng dân đã phá cái nơi cung cấp cứt cho tụi nó ăn.,0,3,3,0,3,0,3,3,0,,,,,
"Từ chân lý giả, tư tưởng giả ,đạo đức giả, đường lối giả , bầu cử giả, luật pháp giả nó sinh ra đủ thứ giả và sự dối trá, lừa lộc, xã hội này đã là xã hội suy đồi thối nát đến mọi rợ.",0,,,,,,,,,,,,,
Ở gần nhà có ông bị khùng chuyên mang quần trong dài hơn quần ngoài như vậy đi ngoài đường. Tính ra gu ăn mặc của a Tiệp còn đi sau cả ông khùng xóm e,0,,,,,,,,,,,,,
Nhìn nhà tiên tri vủ trụ trần dần giống con chó quá trời luôn ta ơi .,1,,,,,,,,,,,,,
Cái con Hoàng Lệ làm j dc j cho đồng bào mà lên tiếng! Ng ta làm việc tốt ko ai trả lương! Dù có động cơ j chăng nữa cũng chưa đến lượt mày lên tiếng! Cái loại ngồi Một chỗ phán xét người khác! Ăn hại,0,,,,,,,,,,,,,
Nhật TùNg r xong sản sủa,1,,,,,,,,,,,,,
"Tui thấy lãnh đạo vn nên câm mẹ nó mồm đi cho xong, đã lỡ tham nhũng rồi thì ở nhà luôn đi, mỗi tháng chuyển tiền cho nó, khỏi làm... Đó là cách tốt nhất để nhân dân ấm no",1,,,,,,,,,,,,,
Gặp máy chị Ninja thì né luôn. trước mình đang đi lúc tắc đường có mụ đi giữa đường rẻ phải vào mua hoa quả luôn k cần xi nhê gì. :3 tức mà đéo làm gì đc bác ak.,1,,,,,,,,,,,,,
Ui dào tòan cái lũ tham ô tham nhũng. Hốc hết cứt của dân thôi,1,,,,,,,,,,,,,
"Bà nầy nói chuyện ko có văn hoá , ko biết xấu hổ",0,,,,,,,,,,,,,
Cái tập đoàn dacosan rước giặc đây mà,0,,,,,,,,,,,,,
Ông bệnh thần kinh mà không hây,0,,,,,,,,,,,,,
Co lon dau ma chui lon mieng thang be de thui.,1,,,,,,,,,,,,,
"báo viết tiếu thấy moẹ ! 2 thằng kia nó không bỏ phong bì 1tr usd cho mấy thằng duyệt thầu thì đúng hơn ! làm việc với mấy thằng đuỹ xứ lừa mà thiếu ""bôi trơn"" là không thông được chúng nó đâu !",1,,,,,,,,,,,,,
loại đàn bà độc ác,0,,,,,,,,,,,,,
"Nam Bắc gì, cứ nói tới người Việt + là ko chỉ thế giới mà chính ""đồng bào"" ta cũng nổi hết da gà! Từ xấu hổ đâu đủ để diễn tả! Đã có hiện tượng lãng xa đồng hương và ko nhận mình là người Việt + trong giao tiếp xã hội khi đi nước ngoài! Dính nhiễm loại virus + này là HẾT THUỐC CHỮA! Than ôi!",0,,,,,,,,,,,,,
"dân ở thế dưới vì sao ? vì không dám hành động nên mới ở thế dưới , dân đồng lòng cùng hành động thì mới ở thế trên được bạn ạ , VN mình 1 đảng không như các nước tư bản đa đảng khác , đến các nước tư bản đa đảng dân họ còn dám biểu tình đập phá nên họ mới có thể đứng ở phía trên , còn VN thì không .",0,,,,,,,,,,,,,
@Yo Min cc,1,,,,,,,,,,,,,
"Làm như ở dưới gầm giường người ta mà nói, ad nói chuyện ngu vđ",1,,,,,,,,,,,,,
Hoàng Xuân Tâm mày muốn đợi Tùng ra mv thì mày phải ráng chờ anh GD tung sản phẩm đã khi đó Tùng mới có ý tưởng ra mv cho mày xem,0,,,,,,,,,,,,,
Sản phẩm của 1 nền giáo dục thối nát,0,,,,,,,,,,,,,
Dân Hà tĩnh công nhận lắm đệ tử của Ducangter thật,0,,,,,,,,,,,,,
Cô này có quá cảnh ở sân bay Inchen HQ rồi mới qua sân bay Quatar mà lại không thành thật khai báo :) 1 tuần trước HQ thành ổ dịch mà cô vẫn không khai báo :) Thì ra vô ý thức không chừa một độ tuổi nào cả :) Hi vọng nhà nước share thông tin để né,0,,,,,,,,,,,,,
"Một số lớn người VN phải xếp vào một trong những dân tộc tàn độc nhất thế giới ,mục tiêu là chủ nghĩa cá nhân là trên hết.",0,,,,,,,,,,,,,
"Lúc trước không biết page nào có share cmt các thứ, ông thầy nói chuyện ngu vl. Đang tranh luận thì xóa cmt, xong bảo nó phát ngôn bừa bãi, tag người này người khác vào làm chứng để lập biên bản. Trong khi mọi người hỏi nó nói gì thì kêu nó nói bậy nên xóa cmt, chưa kịp chụp ảnh. :v",1,,,,,,,,,,,,,
Lũ chó chết. Đkm loạn mẹ nó rồi. Xh như lồn,1,,,,,,,,,,,,,
Nói thế đụng chạm bác em nha! Ở xứ đông Lào bác em luôn đi đầu khi có tiệc tùng đó. Chớ khi ra quân là bác trốn mẹ trong hang Pác bó. Cải cách ruộng đất là bác có bí danh CB ( là chó bò) giết người rồi đổ tội cho người khác.,0,,,,,,,,,,,,,
Như cc z thầy ơi :v,1,,,,,,,,,,,,,
Mày điên à??,1,,,,,,,,,,,,,
Kh nghi hau qua ve sao luon ne..chui cho suong mieng di roi hau qua se ap den chi ne..,0,,,,,,,,,,,,,
"Thế mới thấy ở dưới thôn xóm đã ""ăn lai 1.0 rùi"", càng lên cao thì càng tăng theo cấp số nhân thế nào đây từ thôn, phường, chi hội, hội, quận, tỉnh thành, trung ương.... Ôi thôi nó thối đến fat tởm thật.",0,,,,,,,,,,,,,
"Cán bộ tham nhũng bị bắt tại trận cho hay: ""Ai thề nấy chịu, tui ko có thề nhé!""",0,,,,,,,,,,,,,
"giác ngộ đi , tp HCM nhé , bác giết SG rồi 😆😆😆😆",1,,,,,,,,,,,,,
Chị ba vàng ngọc có cây nọc mọc giữa háng chị ba thêm hai trái dâu lủng lẳng. Bệnh nặng giữ lắm rồi đồ bóng khùng.nói chuyện là biết khùng điên rồi.,1,,,,,,,,,,,,,
dân ngu cu đen chết cả thôi,1,,,,,,,,,,,,,
dou ma thầy,1,,,,,,,,,,,,,
"Giống mấy thằng fan NTN. Chê thằng NTN làm video thiếu ý thức xong nó nhảy vào bảo "" có bằng ngta không mà nói"" clm =))",1,,,,,,,,,,,,,
Ní nuận của dlv đây 🤣,0,,,,,,,,,,,,,
Ca sĩ k-icm đéo gì 🙂 ca sĩ câm,1,,,,,,,,,,,,,
Nieu mấy bà này sống thật thì phải có đạo đức! mấy bà này ko có đạo đức nói chuyện nghề ko có lót lỗ tai cái đồ quốc gia chế độ cũ bị lật đổ,0,,,,,,,,,,,,,
"Cướp đêm là giặc, cướp ngày là quan. 24/7 lúc nào cũng phải nơm nớp. Than ôi cái đất nước hạnh phúc",0,,,,,,,,,,,,,
"Ồ ,tự nhiên add làm e nhớ mấy ông áo vàng cho lính đánh xe taxi chặn đường để bắt sai làn :)))",0,,,,,,,,,,,,,
"Cái ảnh hưởng là ảnh hưởng đến thần kinh của mấy thằng não chó suốt ngày mở mồm là đmcs trong khj còn ăn hạt gạo, uống giọt nước do cs làm ra. Ngu như chó vậy",1,,,,,,,,,,,,,
Thế ngày xưa ông nội thằng ad k mua dâm mẹ nó. Thì đâu đẻ ra thằng ad như ngày nay dc :))))),1,,,,,,,,,,,,,
Cách phân biệt thằng ngu ba gà và ba vi thì đúng hơn đó thầy,1,,,,,,,,,,,,,
Nó dạy thế này đây.người e yêu thương k phải bố cũng chẳng phải mẹ.mà là chú bộ đội. Ngu mà làm đc tổng thống mỹ thì ai cũng muốn ngu,1,,,,,,,,,,,,,
Vân Thuỳ xàm vl :)),0,,,,,,,,,,,,,
"Dẹp hết lũ sư quốc doanh đi , vừa là ổ phá hoại đạo pháp vừa là cơ sở của bọn nằm vùng và phá nát văn hoá VN",3,,,,,,,,,,,,,
"Đánh chết cụ mấy tg nhà báo đó đi, láo lz, nta đéo cho còn cố vào tự ý hành động, dm mấy tg nhà báo tốt nghiệp TTGDTX thì có quy củ đb j, đánh chết mẹ nó đi",1,,,,,,,,,,,,,
Con này là bê đê bong lộ xấu gớm... xấu xúc phạm ng nhìn...,1,,,,,,,,,,,,,
Đm chúng mày,1,,,,,,,,,,,,,
"Tụi dâm loạn viên ăn hết đống cá rồi tắm biển hết đi nha, sao mấy vụ này chả thấy thằng DLV nào vào sủa vậy, ẳng nữa đi mấy cưng",1,,,,,,,,,,,,,
mai ông Hùng King về bẻ cổ chúng nó !,1,,,,,,,,,,,,,
"Mồ tổ cha mày. Đăng mà cũng lược bỏ đi chi tiết: Cty hổ trợ 1thùng number one, bình đựng nước đá. Nhưng anh này...tham thêm 1chút là đòi 10 thùng number one. Đừg ngu mà tỏ nguy hiểm nha ad",1,,,,,,,,,,,,,
Đmm.luc trc may bợ lol nó.jo chưi no.do suc vat.bede thay pai roi.nghiep chuong,1,,,,,,,,,,,,,
Thằng cây atm hack chứ ai,0,,,,,,,,,,,,,
Bằng chứng thằng miền bắc nói là chiếm giùm sẽ trả lại xem nào. Việt tân nói thế à,0,,,,,,,,,,,,,
"Trời h mà đụng tới bk là mì chết sớm nhe con kia , chết ko kịp ngáp , mất dạy",1,,,,,,,,,,,,,
thôi ông im mẹ mồm :)),1,,,,,,,,,,,,,
"Hải Yến vl chưa xem đã cảm thấy chán hơn r, thì thôi lạy m 🙏🙏🙏",1,,,,,,,,,,,,,
"Thực ra: ba que là bọn ăn trên ngồi chốc. Chỉ mị dân cai trị để tham nhủng làm đất nước tụt hậu.. chúng là thầy của bọn bò đỏ.. mà bò mãi O nhận ra vì nhồi sọ umê, chửi càng, bò ơi nghỉ lại đi, chứ đừng để bị làm nội tạng cho giặc tàu..!",0,,,,,,,,,,,,,
ảnh hưởng cái cc gì. dm chúng nó bán cmnr,1,,,,,,,,,,,,,
Chúng bắt đầu cho báo chí đổ tại người dân dọn nhà đón Tết gây ra ô nhiễm kìa,0,,,,,,,,,,,,,
Admin làm một bài post để thể hiện sự ngu si. Chắc sợ mọi người không biết,1,,,,,,,,,,,,,
"Tui tin là boác kính yêu nói được 29 ngôn ngữ đó mọi người. Chắc là boác chỉ nói được chữ Hello bang 29 ngôn ngữ ( Hi, Bon jour, Hola, Nĩ hảo, Hallo, Ciao...) mà tại tụi bưng bô bốc phét nói là boác nói 29 ngôn ngữ :).",0,,,,,,,,,,,,,
Dm bọn Việt tân nhé,1,,,,,,,,,,,,,
":)))) sao anh đếch ở nước ngoài luôn đi về đây làm gì để bị ""đối xử "" như thế. Câm mẹ mồm ông vào. Có tí tiền lo mà bổ túc lại cái não đi",1,,,,,,,,,,,,,
mấy thằng trong soha đéo biết tốt nghiệp xong cấp 3 chưa nhỉ :v,1,,,,,,,,,,,,,
Hau Nguyen con cặc :v,1,,,,,,,,,,,,,
Mày chửi đi ad . Sủa nhiều vào mọi khi sủa kinh lắm mà,1,,,,,,,,,,,,,
Đmcs,1,,,,,,,,,,,,,
Tên loài sinh vật lạ :Dư luận viên,0,,,,,,,,,,,,,
"Hởi toàn thể 90 trịu dân VN chúng ta hãy truy tìm kẻ khốn nạn này. Đây là tiền thúê của chúg ta góp vào phục vụ đất nước, sao chúng trộm làm của riêng? Đậu móa anh chịu hết nổi rồi",0,,,,,,,,,,,,,
Chị ba đẹp gái có hai hòn dái hai bên,1,,,,,,,,,,,,,
Đập sắp mặt sena thầy ơi,0,,,,,,,,,,,,,
"sông cửu long thì bọn cẩu nó ngăn nước đầu nguồn , giờ miền trung thì xả chất độc :( chả có cái gì bọn cẩu này ko làm đc",0,,,,,,,,,,,,,
"Ôi dòi ad não phẳng muốn phản động nhưng k ai bênh mà, chỉ dùng vài bức ảnh, sử dụng PTS chèn chữ vào thôi, thật là lạc hậu quá, ad là tg nhà quê.",1,,,,,,,,,,,,,
"Mặt bà này là biết có dương vật ở dưới háng , mặt nhìn coi không có hậu gì hết .ăn nói như giang hồ mất dạy",1,,,,,,,,,,,,,
Và bộ tộc mixi cũng từ đó ra đời dưới sự lãnh đạo của tộc trưởng người Cao Bằng buồi to như lõi giấy vệ sinh =)),1,,,,,,,,,,,,,
"Dm trọng lắm chiêu, nhìu trò.eo lam đc cc gi",1,,,,,,,,,,,,,
"Thua cai nay nhug hon cai khac, tham nhung, quan lieu, yeu sach, hiep dap dan th nha nuoc VN lun so 1...",0,,,,,,,,,,,,,
Thằng đầu bò,1,,,,,,,,,,,,,
Qc cl à đm con yến nguyễn,1,,,,,,,,,,,,,
tụi nước ngoài ngu như bò. ko có bôi trơn thì sao mà nhận thầu đc,1,,,,,,,,,,,,,
"Thằng Việt chờ khi nào thằng Chung xả nước đầu nguồn thì lên truyền thông hoan nghênh nữa nhé, dù gì Việt và Chung cũng là anh em tốt, Chung từng giữ nhà dùm Việt hẳn 1000 năm cơ :)",0,,,,,,,,,,,,,
"Con Bò đỏ nầy bị tẩy não cho nên không chuyển hoá thành người nổi, thích làm kiếp bò hơn làm người",1,,,,,,,,,,,,,
Hi chắc tụi bay cũng chung bọn với nhóm xộn lào đó rồi,1,,,,,,,,,,,,,
3/ k thích điều này,0,,,,,,,,,,,,,
